split,accuracy,f1_weighted,auc_ovr_weighted,recall_LOW,precision_LOW,recall_MODERATE,precision_MODERATE,recall_HIGH,precision_HIGH,recall_CRITICAL,precision_CRITICAL,acc_gap_vs_validation
train,0.9975585379782981,0.9975591111467691,0.9999914628375711,0.9984007392138745,0.9990398293029872,0.9999038091573682,0.9922680412371134,1.0,0.9946562166013537,0.9945957630782534,0.9992181731312166,0.02155586418150668
validation,0.9760026737967914,0.9759646865328506,0.9992580357714622,0.989018302828619,0.9828042328042328,0.9873873873873874,0.956369982547993,0.9849077697037452,0.9570885388375883,0.9518316130337988,0.9840970914417242,0.0
test,0.9766,0.9765636050474444,0.9991438072456561,0.9877198805177564,0.9825024760647079,0.9901168014375562,0.9603485838779956,0.9832775919732442,0.9602612955906369,0.9545821558336698,0.9831600831600832,0.0005973262032086257
