zone,states,n_samples,tdb_mean,tdb_std,tdb_p5,tdb_p25,tdb_p50,tdb_p75,tdb_p95,tdb_max,rh_mean,rh_std,rh_p5,rh_p50,rh_p95,wind_mean,wind_p5,wind_p50,wind_p95,tr_offset_p5,tr_offset_p50,tr_offset_p95,n_years
Composite,"Delhi, UP, Bihar, Haryana, Punjab",492416,31.3,6.2,19.9,27.3,31.7,36.0,40.7,47.1,48.0,20.9,17.9,45.8,85.3,2.85,0.73,2.62,5.7,0.1,2.5,4.0,16
Highland,"Himachal, Uttarakhand, Northeast",490979,28.5,6.6,17.0,23.8,28.4,33.3,39.4,46.3,58.9,23.6,20.3,60.2,94.2,2.39,0.5,2.04,5.36,0.2,2.4,4.2,16
Hot_Dry,"Rajasthan, Gujarat, MP",611731,32.6,5.3,24.8,28.5,31.8,36.8,41.5,49.3,48.0,21.9,16.9,45.1,84.8,3.79,1.08,3.5,7.55,0.0,2.4,3.9,16
Hot_Humid,"Kerala, TN coast, AP coast, Odisha, WB",1016651,29.7,3.3,25.3,28.1,29.2,30.4,37.0,44.7,71.3,17.2,33.3,77.4,89.2,4.62,0.98,3.99,10.09,0.0,2.2,3.8,16
Semi_Arid,"Karnataka, Telangana, Maharashtra, TN interior",396395,31.3,4.6,24.5,28.0,30.5,34.8,39.3,45.1,57.5,20.6,24.1,58.5,88.2,3.32,0.9,3.03,6.75,0.0,2.2,3.9,16
