zone,states,n_samples,tdb_mean,tdb_std,tdb_p5,tdb_p25,tdb_p50,tdb_p75,tdb_p95,tdb_max,rh_mean,rh_std,rh_p5,rh_p50,rh_p95,wind_mean,wind_p5,wind_p50,wind_p95,tr_offset_p5,tr_offset_p50,tr_offset_p95,n_years
Composite,"Delhi, UP, Bihar, Haryana, Punjab",493550,31.4,6.2,19.8,27.3,31.8,36.2,40.8,47.0,48.7,20.8,17.8,46.4,85.4,2.87,0.72,2.64,5.73,0.1,2.5,4.0,16
Highland,"Himachal, Uttarakhand, Northeast",493395,28.4,6.7,16.9,23.8,28.4,33.2,39.6,46.3,60.2,23.3,20.4,62.8,94.0,2.37,0.5,2.02,5.36,0.2,2.4,4.2,16
Hot_Dry,"Rajasthan, Gujarat, MP",611734,32.4,5.3,24.8,28.5,32.0,36.7,41.6,49.8,48.0,21.6,17.0,45.2,84.6,3.82,1.08,3.48,7.66,0.0,2.4,3.9,16
Hot_Humid,"Kerala, TN coast, AP coast, Odisha, WB",1016652,29.8,3.2,25.4,28.1,29.1,30.4,37.0,44.8,71.1,17.2,33.2,77.3,89.2,4.62,0.98,3.96,10.19,0.0,2.2,3.8,16
Semi_Arid,"Karnataka, Telangana, Maharashtra, TN interior",396396,31.3,4.6,24.5,28.1,30.4,34.7,39.3,45.1,57.4,20.5,24.8,58.7,88.3,3.28,0.91,2.99,6.76,0.0,2.2,3.9,16
